gene_name,789,66,151,405,115,1754,492,709,637,794,276,250,12,R29425B,R34914A,Rou7776B,Rou6223B,R9288,14501,21868
LINC02509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-487E13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEIL3,449,189,396,491,452,716,451,298,188,361,308,494,282,256,255,274,325,632,417,483
RP11-376O6.2,0,0,2,4,0,0,0,14,10,0,2,2,2,0,3,0,6,7,3,4
AGA,675,591,806,690,716,1215,958,650,261,586,521,794,572,623,813,353,849,1125,613,938
RP11-130F10.1,11,9,40,23,5,4,11,3,23,12,11,18,18,20,21,11,20,10,23,50
RNA5SP172,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2
RP11-140M13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-45P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-84H6.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RNA5SP173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG10010137792.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-296L20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-404J23.1,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,0,0,0,0,0
RP11-774G5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-774G5.2,14,0,2,0,0,0,0,0,6,0,0,2,0,0,1,0,11,0,0,4
RP11-396I22.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFB5P1,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
RP11-460H9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-665C14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-433O3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-433O3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-537K6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMN3-AS1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
RN7SKP13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TENM3-AS1,1,0,4,2,4,0,0,0,0,0,10,4,1,0,0,0,4,11,0,4
CCNHP1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TENM3,0,95,4,0,2,0,4,13,23,2,4,8,10,0,10,14,8,50,8,5
RP11-402C9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU2-34P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-18D7.3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
RP11-18D7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-713K18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
RP11-188P17.2,6,1,0,6,0,2,4,0,1,4,2,3,8,0,1,3,1,22,11,0
DCTD,6247,3658,4076,3345,3541,4466,4040,3247,3347,3282,3774,3233,4816,2863,5134,3484,6132,5107,3371,3436
RP11-335L23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-335L23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CIBAR1P2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-335L23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-335L23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WWC2-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WWC2,10,2,24,0,2,2,5,4,18,8,12,6,5,6,4,12,4,10,2,11
WWC2-AS1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CLDN22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLDN24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-451F20.1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
RP11-692E14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDKN2AIP,1259,474,932,696,747,1151,958,636,672,623,660,954,870,722,891,775,1415,1431,729,754
VTI1BP2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0
RP11-367N14.2,6,8,5,60,35,46,36,31,44,8,13,22,32,33,20,28,34,55,38,29
ING2,339,169,270,372,489,459,375,366,331,331,313,235,410,334,486,396,463,557,433,274
RP11-367N14.3,0,0,6,2,0,6,6,4,4,1,4,0,0,0,0,0,0,1,8,0
RWDD4,893,447,1002,668,672,1037,974,532,545,669,597,782,1062,684,1022,878,1309,885,528,804
RNU6-479P,8,0,0,1,10,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0
TRAPPC11,3479,1634,2503,2494,2754,3747,2691,1895,2448,2238,2049,1843,3140,2152,3280,2866,3590,3857,2031,1998
RNU6-335P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0
RNU6-1053P,17,3,7,9,23,22,20,15,23,18,4,15,10,11,17,4,15,33,14,20
RP11-499F19.4,4,0,2,4,1,0,0,1,0,0,0,1,0,0,2,2,4,1,0,0
RP11-499F19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOX2,2,24,4,8,2,0,8,20,4,2,0,6,2,2,46,2,127,4,8,2
RP11-739P1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RP11-739P1.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-616K6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENPP6,36,50,13,28,36,4,71,35,24,20,14,39,12,36,113,36,72,42,67,14
RP11-616K6.3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
RP11-162O12.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
RN7SL28P,0,0,4,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,2,0
MYL12BP2,238,160,93,87,145,64,130,76,118,93,46,52,198,85,251,145,301,240,153,157
LINC02363,1861,752,280,575,1874,415,943,1063,2104,303,694,88,895,401,1651,462,704,382,1008,406
LINC02362,1196,682,700,457,186,220,776,1980,1438,193,128,145,842,287,1010,1168,2101,410,1375,746
IRF2,5289,2751,3839,3551,6402,5533,5625,3386,3885,3671,3258,4051,5338,2677,5583,4028,4669,4942,3670,3104
SNORD79,0,0,4,0,1,0,0,2,0,0,0,0,0,4,0,0,2,3,0,0
RP11-326I11.5,64,20,31,52,53,27,76,36,57,28,26,55,59,68,71,55,59,104,67,37
IRF2-DT,191,96,137,81,144,190,326,45,94,175,87,228,181,48,132,78,281,159,192,149
RP11-326I11.7,4,2,2,0,5,18,4,0,0,8,4,4,12,0,1,0,10,14,2,0
LINC02427,25,10,19,28,31,5,23,18,5,31,6,41,20,6,8,4,97,53,30,18
RP11-326I11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02365,8,0,0,4,4,0,4,2,45,2,2,4,6,1,8,4,0,0,0,4
CASP3,4284,1648,4393,3456,4067,4317,6114,3002,2683,3212,2041,4503,3636,2003,4795,2374,5691,4555,3897,3444
PRIMPOL,415,238,496,438,429,510,528,277,249,367,310,337,301,246,375,263,462,381,320,356
CENPU,1606,872,1314,817,1354,2824,2121,919,615,1579,742,2181,1392,1031,1510,1091,2753,2058,1470,2282
ACSL1,7066,6619,7297,5004,6828,8223,9114,4847,5750,5371,3861,5453,7538,6179,6494,7340,7068,6927,4346,5233
SLED1,3,3,8,8,9,14,0,4,3,0,22,0,9,10,33,12,2,0,0,6
RP11-701P16.2,0,6,2,0,3,0,2,3,0,5,2,2,0,0,4,8,2,2,2,2
RP11-701P16.6,14,94,151,26,25,69,67,14,25,49,34,35,52,80,53,26,17,17,4,58
MIR3945HG,15,64,61,25,13,39,50,4,32,35,36,15,7,49,38,17,24,13,13,68
MIR3945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LINC01093,0,4,0,0,0,0,4,0,2,0,0,2,0,0,2,4,6,0,2,0
RP11-701P16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-517M22.1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02437,4,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HELT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-386B13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-386B13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A4,1626,909,2099,1774,1741,2048,1857,1505,1495,1152,1545,1505,2193,1222,1749,1419,2259,1798,1986,2150
CFAP97,5041,1554,3155,3550,3601,3850,3203,2386,2571,2575,2207,2480,3662,2516,3786,3476,6010,4832,3162,3204
SNX25,7460,2856,3984,7267,6420,7864,5301,7345,5590,4380,4091,3739,5196,4013,6798,4205,9018,10480,6924,5843
LRP2BP,656,134,218,832,617,946,350,753,627,453,278,268,463,328,439,407,517,947,614,392
RP11-714G18.1,30,2,46,29,31,23,15,40,17,37,24,14,22,11,23,12,27,52,47,28
ANKRD37,955,377,128,993,1749,952,688,1644,1135,541,601,196,787,781,2320,649,1431,1699,1991,506
UFSP2,1727,1069,1173,1072,1673,1857,1450,960,1312,1047,857,782,1348,1040,1736,1374,1385,1496,1089,1001
Y_RNA,6,0,0,4,10,7,0,2,0,0,0,0,9,3,23,4,0,14,5,3
C4orf47,30,30,9,82,228,77,97,127,145,116,30,6,65,52,112,63,106,173,213,24
CCDC110,60,2,14,50,101,38,66,45,10,43,36,15,35,28,99,18,23,40,125,0
RP11-279O9.4,22,3,0,17,16,9,20,24,5,20,6,11,11,5,60,6,47,57,29,0
PDLIM3,0,0,0,4,11,4,42,29,2,12,0,0,6,8,46,9,23,4,23,0
SORBS2,81,2,246,158,66,466,57,18,184,603,64,181,26,127,18,157,85,64,14,142
RP11-301L8.2,0,0,8,11,0,6,4,8,6,15,2,10,4,10,2,1,2,12,4,6
RP11-626E13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y_RNA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP11-571N1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
RP11-45I20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-64P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLR3,6,0,295,6,2,14,6,0,2,2,18,4,14,28,0,14,8,0,0,115
FAM149A,62,16,308,85,101,116,82,4,95,67,38,37,56,157,14,89,82,23,10,474
ENSG10010139874.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RPSAP70,0,0,6,4,0,2,2,0,7,2,5,5,0,4,0,8,0,0,0,50
ORAOV1P1,4,0,10,2,0,8,0,0,0,1,0,0,0,0,0,8,0,0,0,6
FLJ38576,10,18,26,8,11,10,14,2,20,4,8,22,0,10,10,0,6,6,2,18
CYP4V2,542,77,1054,192,275,329,446,206,93,329,245,600,401,490,202,122,544,142,91,778
KLKB1,1,0,16,0,0,0,4,0,0,0,2,2,0,14,0,2,2,0,0,3
F11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-40L7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A5P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-215A19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1055P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTNR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
FAT1,18,288,2000,42,21,50,62,10,110,232,3,61,48,14,1,30,12,6,0,46
RP11-182A9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-11N5.1,0,0,0,16,12,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0
RP11-11N5.3,0,0,0,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MRPS36P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-217E13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-696F12.1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-308K2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-138B4.1,0,0,12,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
LINC02514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-91J3.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-237D3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02492,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-565A3.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ADAM20P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-713C19.5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-713C19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ZFP42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
TRIML2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0
RP11-713C19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-173P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIML1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-366H4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-219G10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICE2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01060,0,0,0,0,2,0,0,0,0,6,0,4,0,0,0,0,0,1,0,0
RP11-756P10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-756P10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-192P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-756P10.3,44,9,57,8,7,43,36,4,9,6,4,26,19,9,31,36,48,19,23,24
RP11-756P10.6,148,19,106,31,25,119,69,33,62,19,27,67,32,37,79,57,105,51,64,71
RP11-756P10.4,10,0,0,2,1,0,0,0,2,2,6,2,0,0,1,2,2,0,8,0
LINC02508,6,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0
RP11-756P10.2,12,8,14,0,17,0,19,0,8,8,0,6,0,0,0,4,16,14,33,0
RP11-818C3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-706F1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-706F1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP90AA4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
RP11-462G22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-51P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRG1-DT,6,1,3,0,4,8,0,0,2,0,1,4,5,2,1,1,2,0,1,0
LINC01596,0,0,2,4,1,0,0,0,3,0,0,0,2,0,5,2,1,5,10,0
FRG1,1652,1130,1578,1305,1421,2359,1638,950,1250,1296,1242,1347,1573,1572,1983,2038,2080,1847,1261,1614
MLLT10P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF146191.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBB7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRG2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
RARRES2P4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGGF1P1,6,8,11,0,2,4,4,1,6,0,0,3,0,4,8,6,5,2,2,14
CLUHP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBET,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0
DUX4L30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DUX4L7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUX4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC7-42391500H16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-811I15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHG4B,20,4,0,16,0,0,0,0,0,14,0,0,0,0,2,2,0,2,4,0
Y_RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRRC14B,11,0,3,12,4,8,4,6,21,6,0,6,0,10,13,28,32,19,24,2
CTD-2083E4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC127,832,424,607,525,767,784,552,422,523,447,619,490,606,539,880,714,866,799,571,571
CTD-2083E4.4,36,15,21,37,36,17,15,35,35,20,26,8,38,28,55,49,16,46,21,16
SDHA,670,346,694,461,677,644,519,382,549,463,505,423,501,488,815,503,570,791,397,430
CTD-2546F11.1,6,2,7,10,13,6,11,0,0,0,13,9,0,12,2,0,34,5,4,8
CTD-2083E4.6,8,2,2,0,3,2,0,0,0,6,4,0,2,0,0,3,5,2,0,4
PDCD6,668,290,439,595,485,536,629,288,448,343,204,466,454,315,565,440,785,1240,570,479
PDCD6-AHRR,21,0,1,9,2,1,1,4,4,0,0,7,11,18,13,16,5,15,5,4
CTD-2083E4.5,24,0,0,18,25,31,19,15,6,14,8,10,31,3,32,38,44,70,20,5
AHRR,237,122,99,158,66,150,168,90,114,60,64,74,104,108,346,159,378,338,172,113
CTD-2228K2.2,0,2,0,0,2,6,1,0,2,2,0,0,2,8,10,6,17,2,8,6
CTD-2228K2.1,7,10,1,12,2,9,7,7,4,2,20,3,8,6,16,19,38,9,12,8
EXOC3-AS1,229,137,117,91,104,59,168,56,76,103,52,125,96,48,90,64,294,184,110,125
EXOC3,4249,2752,2814,2776,3229,3771,3354,1863,2795,2466,2097,2152,2844,2204,3315,2533,4999,4680,2505,2428
PP7080,16,0,8,10,14,12,6,5,11,3,2,2,8,17,21,14,10,21,9,3
SLC9A3,138,37,47,203,68,308,57,15,176,38,47,15,162,177,48,151,170,649,153,62
SLC9A3-AS1,990,496,364,991,578,2796,460,198,1441,422,663,198,896,1049,461,1106,1277,3804,1466,510
RP11-310P5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-310P5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP72,495,184,247,342,364,349,355,244,198,257,242,233,309,300,249,241,439,484,296,325
TPPP,137,42,71,54,109,99,42,37,60,33,80,39,131,72,91,91,95,148,61,60
CTD-2589H19.6,16,0,8,4,0,14,6,0,0,8,7,25,0,20,2,2,9,5,2,16
ZDHHC11B,37,2,14,32,10,4,5,12,5,1,10,13,26,33,38,6,80,17,150,30
BRD9P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2589H19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDHHC11,37,8,55,50,25,82,41,12,45,15,32,20,130,61,116,65,51,32,45,15
SPCS2P3,0,0,0,2,0,6,0,1,0,0,0,0,0,0,4,0,0,0,2,0
BRD9,2863,1147,1801,1581,2100,2355,2425,1398,1543,1847,1266,1802,2560,1567,2188,1535,3128,3244,1557,1905
TRIP13,1202,482,812,795,750,1227,1486,447,288,863,573,1265,661,397,584,530,1571,1128,845,1031
RP11-661C8.4,36,0,4,0,20,14,15,6,2,6,3,13,4,6,14,4,22,4,6,10
RP11-661C8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
RP11-661C8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-43F13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-43F13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKD2,0,0,0,4,15,2,0,0,0,8,0,0,3,79,146,26,91,120,20,2
SLC12A7,1169,1109,1380,1066,124,1707,50,400,638,83,1094,65,478,1611,329,707,275,1562,729,493
MIR4635,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CTD-3080P12.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
SLC6A19,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0
SLC6A18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-3080P12.4,0,0,0,3,0,0,0,0,0,0,0,2,0,6,1,0,12,0,1,0
TERT,11,58,0,7,75,0,4,4,16,4,0,2,0,3,24,13,81,10,68,0
MIR4457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPTM1L,2634,2545,2671,1682,2198,2157,3474,2107,1234,2041,1929,3434,2614,1832,2876,1775,4113,3995,3097,2261
RP11-325I22.4,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
LINC01511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCO2P32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-325I22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A3,0,0,0,0,1,0,0,2,0,4,0,0,2,4,4,0,1,0,2,0
LPCAT1,5841,1674,2740,3768,3514,7184,2569,2756,2290,2362,4238,2574,4751,3055,3407,2898,3532,5247,2270,2391
MIR6075,0,0,0,1,0,11,10,0,0,0,6,1,1,1,0,1,1,21,4,4
CTD-2245E15.3,2,0,2,2,4,18,1,0,4,0,4,0,7,2,10,5,0,12,0,0
SDHAP3,962,272,512,606,611,763,438,410,399,593,403,255,551,539,815,530,918,1578,743,512
CTD-2012J19.3,40,8,24,32,37,30,24,21,8,24,20,55,54,25,35,37,72,165,18,28
CTD-2012J19.2,6,4,4,0,13,8,18,2,9,9,6,4,8,6,9,3,5,21,10,8
RP11-43F13.1,982,630,311,488,489,594,530,442,416,448,429,197,513,453,412,466,609,811,456,386
CTD-2012J19.1,27,2,2,11,15,12,9,3,4,5,4,11,32,12,58,14,31,70,12,13
CTD-2012J19.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0
MIR4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2587M23.1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8,0,0,0
MRPL36,1618,845,1427,1001,781,1637,1196,825,851,798,1017,1108,1307,997,1579,1064,1316,1510,757,894
NDUFS6,1934,1593,2760,1195,1184,1897,2616,906,1081,1605,1548,1910,1831,1451,1714,1148,2143,1467,930,1348
CTD-2194D22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02116,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
CTD-2194D22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRX4,0,0,0,6,2,0,0,0,0,0,2,0,1,0,0,2,0,0,8,0
IRX4-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
CTD-2194D22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-259O2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
